USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
root             25683   0.0  0.0 33690204   2468   ??  Ss    6:38PM   0:00.06 /usr/libexec/containermanagerd --runmode=agent --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
_installcoordinationd 25682   0.0  0.0 33660260   2992   ??  Ss    6:38PM   0:00.07 /System/Library/PrivateFrameworks/InstallCoordination.framework/Support/installcoordinationd
vlad             25681   0.0  0.2 33743820  19804   ??  S     6:38PM   0:07.18 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appstoreagent
root             25679   0.0  0.0 33690536   3568   ??  Ss    6:38PM   0:00.21 /usr/libexec/amfid
root             25675   0.0  0.1 33696012   5828   ??  Ss    6:38PM   0:00.47 /usr/libexec/dprivacyd
vlad             25674   0.0  0.2 33855968  16660   ??  S     6:38PM   0:02.00 /Library/Apple/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariBookmarksSyncAgent
vlad             25654   0.0  0.0 33690540   2900   ??  S     6:38PM   0:00.07 /System/Library/CoreServices/pbs
vlad             25646   0.0  0.1 34280376  12352   ??  S     6:38PM   0:00.23 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
vlad             25639   0.0  0.2 33741440  15292   ??  S     6:37PM   0:00.48 /System/Library/CoreServices/UserNotificationCenter.app/Contents/MacOS/UserNotificationCenter
_iconservices    25637   0.0  0.0 33631972    760   ??  S     6:37PM   0:00.49 /usr/sbin/distnoted agent
_gamecontrollerd 25636   0.0  0.0 33631972    764   ??  S     6:37PM   0:00.50 /usr/sbin/distnoted agent
_netbios         25635   0.0  0.0 33631972    760   ??  S     6:37PM   0:00.50 /usr/sbin/distnoted agent
_fpsd            25634   0.0  0.0 33631972    756   ??  S     6:37PM   0:00.52 /usr/sbin/distnoted agent
_driverkit       25633   0.0  0.0 33631972    760   ??  S     6:37PM   0:00.51 /usr/sbin/distnoted agent
_analyticsd      25632   0.0  0.0 33631972    760   ??  S     6:37PM   0:00.53 /usr/sbin/distnoted agent
_networkd        25631   0.0  0.0 33631972    760   ??  S     6:37PM   0:00.53 /usr/sbin/distnoted agent
